,URL,Image,Name,Number of Courses,University,Category,Sub_Category,Course_Language
30,https://www.coursera.org/learn/financial-markets-intro,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/c7/e73cf0b53611e5af288df91c83e825/dollar-544956_1920.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/c7/e73cf0b53611e5af288df91c83e825/dollar-544956_1920.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Introduction to Financial Markets,,Indian School of Business,business,finance,en
31,https://www.coursera.org/learn/wharton-financial-accounting,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/3e/b505c0ee7611e4890b43504b150d21/online_learning_slide_vAccounting.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/3e/b505c0ee7611e4890b43504b150d21/online_learning_slide_vAccounting.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",More Introduction to Financial Accounting,,University of Pennsylvania,business,finance,en
32,https://www.coursera.org/learn/time-value-money,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/65/4915300f7811e7b526f5f5a22fa98a/valutation_tvm.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/65/4915300f7811e7b526f5f5a22fa98a/valutation_tvm.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Principles of Valuation: Time Value of Money,,University of Michigan,business,finance,en
33,https://www.coursera.org/learn/accounting-analytics,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/82/f043f04cd411e5aad6dd6dd2e8b945/coursera_accounting_analytics_8x8.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/82/f043f04cd411e5aad6dd6dd2e8b945/coursera_accounting_analytics_8x8.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Accounting Analytics,,University of Pennsylvania,business,finance,en
34,https://www.coursera.org/learn/intro-economic-theories,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/6c/476a00a03111e6959b75c8e71e235b/theory-symbols.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/6c/476a00a03111e6959b75c8e71e235b/theory-symbols.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Introduction to Economic Theories,,Erasmus University Rotterdam,business,finance,en
35,https://www.coursera.org/learn/financial-accounting-advanced,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/9e/3c6fc0486011e698521ff969af3666/iMBA_FM_Thumbnail_FinancialAccountingAdvanced.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/9e/3c6fc0486011e698521ff969af3666/iMBA_FM_Thumbnail_FinancialAccountingAdvanced.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Financial Accounting: Advanced Topics,,University of Illinois at Urbana-Champaign,business,finance,en
36,https://www.coursera.org/learn/global-financial-crisis,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/0c/ddde30c6c611e68773756acffc1013/Logo_Global-Financial-Crisis.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/0c/ddde30c6c611e68773756acffc1013/Logo_Global-Financial-Crisis.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",The Global Financial Crisis,,Yale University,business,finance,en
37,https://www.coursera.org/learn/finance-for-non-finance-managers,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/04/e5493049ae11e4a3304f24ff82b397/Finance-Course.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/04/e5493049ae11e4a3304f24ff82b397/Finance-Course.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Finance for Non-Financial Professionals,,"University of California, Irvine",business,finance,en
38,https://www.coursera.org/learn/financial-statements,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/04/d552d0ef8b11e5889a5f1e48fdff19/Acc_Logo_CompanyPositions.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/04/d552d0ef8b11e5889a5f1e48fdff19/Acc_Logo_CompanyPositions.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Understanding Financial Statements: Company Position,,University of Illinois at Urbana-Champaign,business,finance,en
39,https://www.coursera.org/learn/startup-technologique,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/08/6d6860a57611e59db55548e5dab1f2/logo-800x800.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/08/6d6860a57611e59db55548e5dab1f2/logo-800x800.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Créer et développer une startup technologique,,"École Polytechnique, HEC Paris",business,finance,en
